2013-02-02 07:00:00 - 2013-02-02 03:00:00, 28570342, 13861361
2013-02-02 11:00:00 - 2013-02-02 07:00:00, 788, 3068
2013-02-02 15:00:00 - 2013-02-02 11:00:00, 2560, 4150
2013-02-02 19:00:00 - 2013-02-02 15:00:00, 5135, 4326
2013-02-02 23:00:00 - 2013-02-02 19:00:00, 3102, 2168
2013-02-03 03:00:00 - 2013-02-02 23:00:00, 1757, 770
2013-02-03 07:00:00 - 2013-02-03 03:00:00, 254, 385
2013-02-03 11:00:00 - 2013-02-03 07:00:00, 535, 1839
2013-02-03 15:00:00 - 2013-02-03 11:00:00, 1554, 3129
2013-02-03 19:00:00 - 2013-02-03 15:00:00, 3439, 2944
2013-02-03 23:00:00 - 2013-02-03 19:00:00, 2020, 804
2013-02-04 03:00:00 - 2013-02-03 23:00:00, 843, 453
2013-02-04 07:00:00 - 2013-02-04 03:00:00, 300, 1565
2013-02-04 11:00:00 - 2013-02-04 07:00:00, 2062, 18905
2013-02-04 15:00:00 - 2013-02-04 11:00:00, 4820, 5743
2013-02-04 19:00:00 - 2013-02-04 15:00:00, 20757, 6087
2013-02-04 23:00:00 - 2013-02-04 19:00:00, 8574, 1444
2013-02-05 03:00:00 - 2013-02-04 23:00:00, 1227, 320
2013-02-05 07:00:00 - 2013-02-05 03:00:00, 320, 1684
2013-02-05 11:00:00 - 2013-02-05 07:00:00, 2238, 21550
2013-02-05 15:00:00 - 2013-02-05 11:00:00, 5183, 6204
2013-02-05 19:00:00 - 2013-02-05 15:00:00, 21381, 6384
2013-02-05 23:00:00 - 2013-02-05 19:00:00, 9600, 1660
2013-02-06 03:00:00 - 2013-02-05 23:00:00, 1339, 331
2013-02-06 07:00:00 - 2013-02-06 03:00:00, 348, 1645
2013-02-06 11:00:00 - 2013-02-06 07:00:00, 2145, 21420
2013-02-06 15:00:00 - 2013-02-06 11:00:00, 5314, 6427
2013-02-06 19:00:00 - 2013-02-06 15:00:00, 21350, 6629
2013-02-06 23:00:00 - 2013-02-06 19:00:00, 9984, 1755
2013-02-07 03:00:00 - 2013-02-06 23:00:00, 1415, 362
2013-02-07 07:00:00 - 2013-02-07 03:00:00, 336, 1690
2013-02-07 11:00:00 - 2013-02-07 07:00:00, 2341, 21425
2013-02-07 15:00:00 - 2013-02-07 11:00:00, -5446188, -4112526
2013-02-07 19:00:00 - 2013-02-07 15:00:00, 2360565, -110398
2013-02-07 23:00:00 - 2013-02-07 19:00:00, 3122761, 4238798
2013-02-08 03:00:00 - 2013-02-07 23:00:00, 1568, 393
2013-02-08 07:00:00 - 2013-02-08 03:00:00, 369, 1620
2013-02-08 11:00:00 - 2013-02-08 07:00:00, 2099, 18433
2013-02-08 15:00:00 - 2013-02-08 11:00:00, 8721, 5049
2013-02-08 19:00:00 - 2013-02-08 15:00:00, 16176, 3664
2013-02-08 23:00:00 - 2013-02-08 19:00:00, 3059, 786
